学校名称/学部/学科,报考频度,国立・公立,地区归属,是否更新到最新,是否已下载pdf,募集要项链接（募集要项一览界面的链接）,具体学部PDF,是否招收留学生,EJU必要科目,是否需要英语成绩,英语成绩类型,是否必须JLPT成绩,是否有校内考,募集要项发放月份（多期多选）,出愿开始日期,2期出愿开始日期,出愿结束日期,2期出愿结束日期,出愿材料邮寄要求,第一次选考/书类选考,第二次选考/校内考/面试 内容,校内考日期/时间,面试日期/时间,2期面试日期/时间,合格通知日期,2期合格通知日期,入学手续开始时间,2期入学手续开始时间,入学手续截止时间,2期入学手续截止时间,是否必须住民票,是否必须推荐信,有日本初高中经验是否可以申报（有条件需具体填写）,填写人,归属大学,更新时间,审核人,最近修改,测试
東洋大学健康スポーツ科学部,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,日语,否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学健康スポーツ科学部健康スポーツ学科,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,日语,否,"TOEFL iBT, TOEIC L&R",否,"小论文, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学健康スポーツ科学部栄養科,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,日语,否,"TOEFL iBT, TOEIC L&R",否,面试,,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学理工学部,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,日语,否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,详情见子目录具体学科,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学理工学部機械工学科,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,"日语, 物理必须，其他科目2选1",否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学理工学部電気電子情報工学科,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,"日语, 物理必须，其他科目2选1",否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试＋口头试问,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学理工学部応用化学科,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,"日语, 物理, 化学",否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学理工学部都市環境デザイン学科,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,"日语, 物理必须，其他科目2选1",否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学理工学部建築学科,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,"日语, 物理, 化学",否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学総合情報学部,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,日语,否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学総合情報学部総合情報（メディア情報）,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,日语,否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学総合情報学部総合情報（心理・スポーツ）,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,日语,否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学総合情報学部総合情報（システム情報）,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,日语,否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学生命科学部,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,日语,否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,详情见子目录具体学科,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学生命科学部生命科学科,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,"日语, 化学, 生物",否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试＋生物化学口头试问,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学生命科学部生体医工学科,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,"日语, 理科3选2",否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学生命科学部生物資源学科,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,"日语, 化学, 生物",否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试＋生物化学口头试问,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学食環境科学部食環境科,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,日语,否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学食環境科学部フードデータサイエンス学科,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,日语,否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
東洋大学食環境科学部,,,,1,1,https://www.toyo.ac.jp/nyushi/admission/admission-data/international-student/japan/#%E5%A4%96%E5%9B%BD%E4%BA%BA%E7%95%99%E5%AD%A6%E7%94%9F-%E5%85%A5%E5%AD%A6%E8%A9%A6%E9%A8%93%E8%A6%81%E9%A0%85,https://www.toyo.ac.jp/nyushi/pdf/admission/admission-data/international-student/japan/international_entry-exam_2025.pdf,是,日语,否,"TOEFL iBT, TOEIC L&R",否,"英语 笔试, 面试",,2025/09/01,2025/10/24,2025/09/03,2025/10/28,簡易書留・速達・消印,书类选考占50点,面试,2025/10/19,2025/10/19,2025/12/14,2025/10/27,2026/01/09,2025/10/27,2026/01/09,2025/11/14,2026/01/15,是,否,不可,新领域_学部教务,東洋大学,2025/09/19 20:27,,新领域_学部教务,false
駒沢大学文学部,,,,1,,https://www.komazawa-u.ac.jp/exam/information/private-expense-forign-student.html,https://komazawa-u.backshelf.jp/bookview/?filseq=4811,是,"日语, 数学コース1または数学コース2",否,,否,"小论文, 口头试问, 面试",,2025/11/17,,2025/11/21,,簡易書留・速達・消印,无,小论文＋面试＋口头试问,2026/01/11,2026/01/11,,2026/01/23,,2026/01/23,,2026/01/30,,是,否,可以，有限制条件,新领域_学部教务,駒澤大学（出願前に事前確認必要）,2025/08/14 19:58,,新领域_学部教务,false
駒沢大学文学部地理学科,,,,1,,https://www.komazawa-u.ac.jp/exam/information/private-expense-forign-student.html,https://komazawa-u.backshelf.jp/bookview/?filseq=4811,是,"日语, 物理, 化学, 数学コース２",否,,否,"小论文, 口头试问, 面试",,2025/11/17,,2025/11/21,,簡易書留・速達・消印,无,小论文＋面试＋口头试问,2026/01/11,2026/01/11,,2026/01/23,,2026/01/23,,2026/01/30,,是,否,可以，有限制条件,新领域_学部教务,駒澤大学（出願前に事前確認必要）,2025/08/14 19:58,,新领域_学部教务,false
駒沢大学医療健康科学部診療放射線技術科学科,,,,1,,https://www.komazawa-u.ac.jp/exam/information/private-expense-forign-student.html,https://komazawa-u.backshelf.jp/bookview/?filseq=4811,是,,否,,否,"小论文, 口头试问, 面试, 英语 笔试",,2025/11/17,,2025/11/21,,簡易書留・速達・消印,无,小论文＋英语＋面试＋口头试问,2026/01/11,2026/01/11,,2026/01/23,,2026/01/23,,2026/01/30,,是,否,可以，有限制条件,新领域_学部教务,駒澤大学（出願前に事前確認必要）,2025/08/14 19:58,,新领域_学部教务,false
駒沢大学医療健康科学部,,,,1,,https://www.komazawa-u.ac.jp/exam/information/private-expense-forign-student.html,https://komazawa-u.backshelf.jp/bookview/?filseq=4811,是,"日语, 物理, 化学, 数学コース２",否,,否,"小论文, 口头试问, 面试, 英语 笔试",,2025/11/17,,2025/11/21,,簡易書留・速達・消印,无,小论文＋英语＋面试＋口头试问,2026/01/11,2026/01/11,,2026/01/23,,2026/01/23,,2026/01/30,,是,否,可以，有限制条件,新领域_学部教务,駒澤大学（出願前に事前確認必要）,2025/08/14 19:58,,新领域_学部教务,false
専修大学ネットワーク情報学部,,,,1,1,https://www.senshu-u.ac.jp/admission/shikenseido/nyushiyokodl.html,https://www.senshu-u.ac.jp/albums/abm.php?d=7237&f=abm00059663.pdf&n=%E2%91%A3-1_%E5%A4%96%E7%95%99_%E5%85%A5%E8%A9%A6%E8%A6%81%E9%A0%85.pdf,是,"日语, 数学コース1または数学コース2, 物理必须，其他科目2选1",是,TOEFL iBT,否,无,,2025/10/29,,2025/11/04,,只能线下提交,无,无,,,,2026/01/23,,2026/01/23,,2025/02/06,,否,否,可以，有限制条件,聂乔阳,専修大学,2025/10/11 14:12,,聂乔阳,false
専修大学ネットワーク情報学部ネットワーク情報学科,,,,1,1,https://www.senshu-u.ac.jp/admission/shikenseido/nyushiyokodl.html,https://www.senshu-u.ac.jp/albums/abm.php?d=7237&f=abm00059663.pdf&n=%E2%91%A3-1_%E5%A4%96%E7%95%99_%E5%85%A5%E8%A9%A6%E8%A6%81%E9%A0%85.pdf,是,,是,TOEFL iBT,否,无,,,,,,,,,,,,,,,,,,,,,聂乔阳,専修大学,2025/10/11 14:12,,聂乔阳,false
,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,聂乔阳,専修大学,2025/10/11 14:12,,聂乔阳,false
芝浦工業大学工学部,常报校,,,1,,https://www.shibaura-it.ac.jp/examinee/undergraduate/exam_special/foreigner.html,https://admissions.shibaura-it.ac.jp/admission/exam_special/foreigner.html,是,"日语, 数学コース２, 理科3选2",是,"TOEFL iBT, 42分以上, TOEIC 全科, 790分以上, IELTs, 4.0以上",否,面试,,2025/10/01,,2025/10/04,,簡易書留・速達・消印,无,线上面试,无,2025/11/09,,2025/11/21,,2025/11/21,,2025/12/05,,否,否,可以，有限制条件,聂乔阳,芝浦工業大学,2025/10/11 14:12,,聂乔阳,false
芝浦工業大学システム理工学部,常报校,,,1,,https://www.shibaura-it.ac.jp/examinee/undergraduate/exam_special/foreigner.html,https://admissions.shibaura-it.ac.jp/admission/exam_special/foreigner.html,是,"日语, 数学コース２, 理科3选2",是,"TOEFL iBT, 42分以上, TOEIC 全科, 790分以上, IELTs, 4.0以上",否,面试,,2025/10/01,,2025/10/04,,簡易書留・速達・消印,无,线上面试,无,2025/11/09,,2025/11/21,,2025/11/21,,2025/12/05,,否,否,可以，有限制条件,聂乔阳,芝浦工業大学,2025/10/11 14:12,,聂乔阳,false
芝浦工業大学デザイン工学部,常报校,,,1,,https://www.shibaura-it.ac.jp/examinee/undergraduate/exam_special/foreigner.html,https://admissions.shibaura-it.ac.jp/admission/exam_special/foreigner.html,是,"日语, 数学コース２, 理科3选2",是,"TOEFL iBT, 42分以上, TOEIC 全科, 790分以上, IELTs, 4.0以上",否,面试,,2025/10/01,,2025/10/04,,簡易書留・速達・消印,无,线上面试,无,2025/11/09,,2025/11/21,,2025/11/21,,2025/12/05,,否,否,可以，有限制条件,聂乔阳,芝浦工業大学,2025/10/11 14:12,,聂乔阳,false
芝浦工業大学建築学部,常报校,,,1,,https://www.shibaura-it.ac.jp/examinee/undergraduate/exam_special/foreigner.html,https://admissions.shibaura-it.ac.jp/admission/exam_special/foreigner.html,是,"日语, 数学コース２, 理科3选2",是,"TOEFL iBT, 42分以上, TOEIC 全科, 790分以上, IELTs, 4.0以上",否,面试,,2025/10/01,,2025/10/04,,簡易書留・速達・消印,无,线上面试,无,2025/11/09,,2025/11/21,,2025/11/21,,2025/12/05,,否,否,可以，有限制条件,聂乔阳,芝浦工業大学,2025/10/11 14:12,,聂乔阳,false
東京電機大学システムデザイン工学部,常报校,,,1,1,https://www.dendai.ac.jp/about/admission/undergraduate/ryugakusei.html,https://www.dendai.ac.jp/about/admission/undergraduate/e5vdec0000008k51-att/R8_gaikokujin_youkou_0624.pdf,是,,否,,否,"面试, 口头试问",,2025/08/22,,2025/08/28,,簡易書留・速達・消印,无,线下面试＋口头试问,无,2025/09/27,,2025/10/07,,2025/11/04,,2025/11/21,,否,否,,新领域_学部教务,東京電機大学,2025/09/20 05:40,,新领域_学部教务,false
東京都市大学理工学部,常报校,,,1,1,https://www.tcu.ac.jp/entrance/summary/,https://www.tcu.ac.jp/tcucms/wp-content/uploads/2025/05/foreignstudent.pdf,是,"日语, 数学コース２, 物理, 化学",否,,N2以上,面试,,2025/10/07,,2025/10/14,,,无,线下面试,无,2025/12/06,,2025/12/16,,2025/12/16,,2026/01/08,,否,否,不可,聂乔阳,東京都市大学,2025/10/11 14:12,,聂乔阳,false
東京都市大学建築都市デザイン学部,常报校,,,1,1,https://www.tcu.ac.jp/entrance/summary/,https://www.tcu.ac.jp/tcucms/wp-content/uploads/2025/05/foreignstudent.pdf,是,"日语, 数学コース２, 物理, 化学",否,,N2以上,面试,,2025/10/07,,2025/10/14,,,无,线下面试,无,2025/12/06,,2025/12/16,,2025/12/16,,2026/01/08,,否,否,不可,聂乔阳,東京都市大学,2025/10/11 14:12,,聂乔阳,false
東京都市大学情報工学部,常报校,,,1,1,https://www.tcu.ac.jp/entrance/summary/,https://www.tcu.ac.jp/tcucms/wp-content/uploads/2025/05/foreignstudent.pdf,是,"日语, 数学コース２, 物理, 化学",否,,N2以上,面试,,2025/10/07,,2025/10/14,,,无,线下面试,无,2025/12/06,,2025/12/16,,2025/12/16,,2026/01/08,,否,否,不可,聂乔阳,東京都市大学,2025/10/11 14:12,,聂乔阳,false
東京都市大学環境学部,常报校,,,1,1,https://www.tcu.ac.jp/entrance/summary/,https://www.tcu.ac.jp/tcucms/wp-content/uploads/2025/05/foreignstudent.pdf,是,"日语, 数学コース1，数学コース2，理科任意一科目",否,,N2以上,面试,,2025/10/07,,2025/10/14,,,无,线下面试,无,2025/12/06,,2025/12/16,,2025/12/16,,2026/01/08,,否,否,不可,聂乔阳,東京都市大学,2025/10/11 14:12,,聂乔阳,false
東京都市大学メディア情報学部,常报校,,,1,1,https://www.tcu.ac.jp/entrance/summary/,https://www.tcu.ac.jp/tcucms/wp-content/uploads/2025/05/foreignstudent.pdf,是,,否,,N2以上,面试,,2025/10/07,,2025/10/14,,,无,线下面试,无,2025/12/06,,2025/12/16,,2025/12/16,,2026/01/08,,否,否,不可,聂乔阳,東京都市大学,2025/10/11 14:12,,聂乔阳,false
東京都市大学メディア情報学部社会メディア学科,常报校,,,1,1,https://www.tcu.ac.jp/entrance/summary/,https://www.tcu.ac.jp/tcucms/wp-content/uploads/2025/05/foreignstudent.pdf,是,"日语, 数学コース1，数学コース2，理科任意一科目",否,,N2以上,面试,,2025/10/07,,2025/10/14,,,无,线下面试,无,2025/12/06,,2025/12/16,,2025/12/16,,2026/01/08,,否,否,不可,聂乔阳,東京都市大学,2025/10/11 14:12,,聂乔阳,false
東京都市大学メディア情報学部情報システム学科,常报校,,,1,1,https://www.tcu.ac.jp/entrance/summary/,https://www.tcu.ac.jp/tcucms/wp-content/uploads/2025/05/foreignstudent.pdf,是,"日语, 数学コース1または数学コース2",否,,N2以上,面试,,2025/10/07,,2025/10/14,,,无,线下面试,无,2025/12/06,,2025/12/16,,2025/12/16,,2026/01/08,,否,否,不可,聂乔阳,東京都市大学,2025/10/11 14:12,,聂乔阳,false
東京都市大学メディア情報学部デザイン・データ学部,常报校,,,1,1,https://www.tcu.ac.jp/entrance/summary/,https://www.tcu.ac.jp/tcucms/wp-content/uploads/2025/05/foreignstudent.pdf,是,"日语, 数学コース1，数学コース2，理科任意一科目",否,,N2以上,面试,,2025/10/07,,2025/10/14,,,无,线下面试,无,2025/12/06,,2025/12/16,,2025/12/16,,2026/01/08,,否,否,不可,新领域_学部教务,東京都市大学,2025/09/19 20:28,,新领域_学部教务,false
東京都市大学都市生活学部,常报校,,,1,1,https://www.tcu.ac.jp/entrance/summary/,https://www.tcu.ac.jp/tcucms/wp-content/uploads/2025/05/foreignstudent.pdf,是,"日语, 数学コース1，数学コース2，理科任意一科目",否,,N2以上,面试,,2025/10/07,,2025/10/14,,,无,线下面试,无,2025/12/06,,2025/12/16,,2025/12/16,,2026/01/08,,否,否,不可,新领域_学部教务,東京都市大学,2025/09/19 20:28,,新领域_学部教务,false
